City_ID,City,Country,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Current Description
1219,matamoros,MX,25.5333,-103.25,84.2,28,1,4.61,clear sky
1220,bathurst,AU,-33.4166,149.5806,79,48,2,1.01,clear sky
1221,banda aceh,ID,5.5577,95.3222,82.44,72,100,8.48,overcast clouds
1222,yueyang,CN,29.3333,113.0919,52.43,89,100,4.07,overcast clouds
1223,terrace,CA,54.5163,-128.6035,41,60,75,10.36,broken clouds
1224,vaxjo,SE,56.8777,14.8091,39.2,93,90,17.27,light rain
1225,tshikapa,CD,-6.4167,20.8,69.87,95,100,1.86,overcast clouds
1226,mtinko,TZ,-4.55,34.85,58.71,95,100,6.62,overcast clouds
1227,watrous,CA,51.6668,-105.4679,55.4,35,100,8.05,overcast clouds
1228,orsha,BY,54.5153,30.4053,31.6,75,80,10.36,broken clouds
1229,gornyak,RU,50.9942,81.4661,29.14,82,3,6.11,clear sky
1230,luanda,AO,-8.8368,13.2343,78.8,83,20,6.91,few clouds
1231,gornopravdinsk,RU,60.05,69.9,32.61,93,95,7.54,overcast clouds
1232,urumqi,CN,43.801,87.6005,44.6,57,0,6.71,clear sky
1233,gizo,SB,-8.103,156.8419,84.56,73,89,7.56,light rain
1234,novyye lyady,RU,58.0536,56.6039,32,93,0,8.95,clear sky
1235,merauke,ID,-8.4667,140.3333,84.76,69,61,4.14,broken clouds
1236,sohbatpur,PK,28.5202,68.5434,80.28,11,16,8.7,few clouds
1237,slave lake,CA,55.2834,-114.769,39.2,65,90,11.5,overcast clouds
1238,jajce,BA,44.3422,17.2656,30.2,93,0,3.44,clear sky
1239,alcudia,ES,39.8532,3.1214,53.01,90,24,1.01,few clouds
1240,khorixas,NA,-20.3667,14.9667,75.72,43,2,3.8,clear sky
1241,pala,TD,9.3642,14.9046,83.8,17,70,7.78,broken clouds
1242,garissa,KE,-0.4536,39.6401,78.66,81,100,6.93,moderate rain
1243,oregon,US,44.0001,-120.5014,53.6,35,40,19.37,scattered clouds
1244,sal,JO,32.5694,35.9119,51.8,46,0,3.38,clear sky
