City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max temp,Wind Speed
305,Shuyskoye,49,RU,2021-04-03 01:10:25,97,59.3736,41.0305,23.86,2.17
306,Umuahia,80,NG,2021-04-03 01:10:26,79,5.5263,7.4896,78.28,4.72
307,Bosaso,0,SO,2021-04-03 01:10:26,54,11.2842,49.1816,79.5,3.96
308,Chimbote,53,PE,2021-04-03 01:07:36,85,-9.0853,-78.5783,69.21,7.78
309,Saint-Georges,20,GD,2021-04-03 01:07:18,74,12.0564,-61.7485,80.6,18.41
310,Kutum,42,SD,2021-04-03 01:10:27,18,14.2,24.6667,66.52,13.85
311,Mehamn,56,NO,2021-04-03 01:10:27,92,71.0357,27.8492,26.31,10.89
312,Vagur,30,FO,2021-04-03 01:10:27,90,61.4732,-6.8119,44.46,25.88
313,Ransang,100,PH,2021-04-03 01:10:27,76,8.9603,117.5828,82.15,2.66
314,Port-Cartier,90,CA,2021-04-03 01:10:28,80,50.0334,-66.8654,28.99,6.91
315,Slave Lake,90,CA,2021-04-03 01:10:28,48,55.2834,-114.769,37.4,3.44
316,Bowen,90,AU,2021-04-03 01:10:28,73,-20.0167,148.2333,77.0,14.97
317,Hami,0,CN,2021-04-03 01:10:29,15,42.8,93.45,49.01,3.49
318,Galle,100,LK,2021-04-03 01:10:29,82,6.0367,80.217,80.94,9.6
319,Angoche,65,MZ,2021-04-03 01:10:30,84,-16.2325,39.9086,76.35,5.46
320,Poopo,100,BO,2021-04-03 01:10:30,48,-18.3667,-66.9667,43.77,7.43
321,San Quintin,0,MX,2021-04-03 01:10:30,68,30.4833,-115.95,63.64,12.62
322,Paveh,1,IR,2021-04-03 01:10:31,70,35.0434,46.3565,42.3,5.03
323,Moree,49,AU,2021-04-03 01:10:31,49,-29.4667,149.85,73.4,13.8
324,Naze,75,JP,2021-04-03 01:08:07,100,28.3667,129.4833,69.8,18.41
325,Kazanskaya,81,RU,2021-04-03 01:10:31,78,45.4106,40.4361,45.86,15.08
326,Hervey Bay,22,AU,2021-04-03 01:10:32,75,-25.2986,152.8535,77.0,7.0
327,Deputatskiy,100,RU,2021-04-03 01:10:32,98,69.3,139.9,-5.35,4.18
328,Shimoda,20,JP,2021-04-03 01:06:10,68,34.6667,138.95,64.4,11.5
329,Mackenzie,90,CA,2021-04-03 01:10:33,52,55.2999,-123.1698,39.2,11.5
330,Rangpo,20,IN,2021-04-03 01:10:33,77,27.1833,88.5333,66.2,1.14
331,Oga,40,IT,2021-04-03 01:10:33,69,46.4631,10.347,50.0,1.14
332,Raisio,0,FI,2021-04-03 01:10:33,80,60.4859,22.169,35.6,5.75
333,Inongo,100,CD,2021-04-03 01:10:34,93,-1.95,18.2667,71.69,2.26
334,Geilo,100,NO,2021-04-03 01:10:34,52,60.5333,8.2076,24.01,21.0
335,Panzhihua,0,CN,2021-04-03 01:10:34,50,26.5851,101.7128,57.99,2.04
336,Mersing,20,MY,2021-04-03 01:10:35,94,2.4312,103.8405,75.2,4.61
337,Awjilah,0,LY,2021-04-03 01:10:35,32,29.1081,21.2869,60.78,7.74
338,Axim,17,GH,2021-04-03 01:10:35,87,4.8699,-2.2405,79.25,8.16
339,Picos,76,BR,2021-04-03 01:10:36,62,-7.0769,-41.4669,77.49,2.17
340,Anjozorobe,20,MG,2021-04-03 01:10:36,94,-18.4,47.8667,55.4,2.3
341,Cetateni,100,RO,2021-04-03 01:10:36,89,45.2,25.1833,44.01,2.44
342,Northam,0,GB,2021-04-03 01:10:36,81,51.0333,-4.2167,43.0,7.0
343,Nantucket,40,US,2021-04-03 01:05:59,69,41.2835,-70.0995,34.0,7.0
344,Green River,1,US,2021-04-03 01:05:24,8,41.5286,-109.4662,64.99,16.11
345,Shaoyang,100,CN,2021-04-03 01:10:37,87,27.2315,111.4525,54.09,4.34
346,Richards Bay,100,ZA,2021-04-03 01:12:02,80,-28.783,32.0377,71.94,17.36
347,Tunceli,75,TR,2021-04-03 01:10:37,75,39.1083,39.5471,42.8,5.75
348,Reconquista,0,AR,2021-04-03 01:10:12,63,-29.15,-59.65,65.61,6.58
349,Cherskiy,100,RU,2021-04-03 01:07:32,72,68.75,161.3,7.75,7.23
350,Pangnirtung,1,CA,2021-04-03 01:08:47,73,66.1451,-65.7125,-19.25,6.69
351,Callaway,0,US,2021-04-03 01:10:38,41,30.153,-85.5699,55.0,1.99
352,Ovsyanka,40,RU,2021-04-03 01:10:38,74,55.9575,92.5519,30.2,11.18
353,Kengyel,0,HU,2021-04-03 01:10:39,81,47.0833,20.3333,41.0,6.91
354,Rochester,1,US,2021-04-03 01:09:27,43,43.1548,-77.6156,35.01,8.05
355,Keti Bandar,0,PK,2021-04-03 01:10:39,72,24.1447,67.4497,79.95,10.29
356,Nanortalik,100,GL,2021-04-03 01:08:43,98,60.1432,-45.2371,35.67,0.98
357,Belmonte,75,BR,2021-04-03 01:10:40,94,-15.8631,-38.8828,77.0,3.44
358,Tera,0,NE,2021-04-03 01:10:40,8,14.0078,0.7531,79.32,9.55
359,Methoni,21,GR,2021-04-03 01:10:40,93,36.8197,21.7049,54.0,4.61
360,Prince Rupert,90,CA,2021-04-03 01:10:40,81,54.3161,-130.3201,41.0,13.8
361,Longyearbyen,75,SJ,2021-04-03 01:08:05,79,78.2186,15.6401,19.4,9.22
362,Samarai,72,PG,2021-04-03 01:10:41,69,-10.6167,150.6667,84.69,13.06
363,Kendari,100,ID,2021-04-03 01:10:41,69,-3.945,122.4989,84.31,2.66
364,Lianzhou,43,CN,2021-04-03 01:10:41,78,24.7811,112.3825,70.54,4.79
365,Luderitz,5,NA,2021-04-03 01:07:37,48,-26.6481,15.1594,69.39,14.41
366,Amazar,2,RU,2021-04-03 01:07:49,34,53.858,120.875,25.83,5.35
367,Haverfordwest,0,GB,2021-04-03 01:10:42,95,51.8017,-4.9691,41.0,1.99
368,Tagusao,59,PH,2021-04-03 01:10:42,76,9.1924,117.8141,81.79,3.65
369,Borodino,100,RU,2021-04-03 01:10:43,85,55.9106,94.8983,30.4,17.02
370,Tomatlan,100,MX,2021-04-03 01:08:11,62,19.9333,-105.25,77.18,3.78
371,Margate,28,GB,2021-04-03 01:06:42,73,51.3813,1.3862,44.01,7.0
372,La Asuncion,37,VE,2021-04-03 01:10:43,84,11.0333,-63.8628,77.04,18.92
373,Esperance,90,AU,2021-04-03 01:07:13,77,-33.8667,121.9,66.2,11.5
374,Kathu,75,TH,2021-04-03 01:10:44,94,7.9178,98.3332,86.0,2.3
375,Ilulissat,75,GL,2021-04-03 01:08:01,72,69.2167,-51.1,6.8,9.22
376,Were Ilu,2,ET,2021-04-03 01:10:44,33,10.6,39.4333,49.93,6.31
377,Kuusamo,0,FI,2021-04-03 01:10:44,93,65.9667,29.1833,19.4,2.3
378,Clyde River,1,CA,2021-04-03 01:08:51,70,70.4692,-68.5914,-13.0,4.29
379,Noumea,90,NC,2021-04-03 01:05:55,94,-22.2763,166.4572,78.01,4.61
380,Homer,90,US,2021-04-03 01:10:45,74,59.6425,-151.5483,28.4,14.97
381,Talnakh,12,RU,2021-04-03 01:08:21,84,69.4865,88.3972,-15.14,6.58
382,Sangin,100,AF,2021-04-03 01:10:46,25,32.0728,64.8359,67.59,1.59
383,Mitsamiouli,99,KM,2021-04-03 01:10:46,76,-11.3847,43.2844,81.95,11.86
384,San Rafael,95,AR,2021-04-03 01:10:46,48,-34.6177,-68.3301,72.14,10.49
385,Damietta,0,EG,2021-04-03 01:10:46,82,31.4165,31.8133,57.2,11.5
386,Sioux Lookout,90,CA,2021-04-03 01:10:47,32,50.1001,-91.917,50.0,8.05
387,Berlevag,40,NO,2021-04-03 01:08:50,85,70.8578,29.0864,27.79,10.8
388,Basco,18,PH,2021-04-03 01:10:47,76,20.4487,121.9702,79.61,10.8
389,Nome,90,US,2021-04-03 01:08:46,79,64.5011,-165.4064,18.0,13.8
390,Khetia,5,IN,2021-04-03 01:10:48,55,21.6667,74.5833,76.03,7.34
391,Douentza,0,ML,2021-04-03 01:10:48,9,14.9951,-2.9517,76.82,2.53
392,Loubomo,100,CG,2021-04-03 01:10:48,96,-4.1997,12.6739,72.5,2.44
393,Saint-Louis,0,SN,2021-04-03 01:10:49,37,16.3333,-15.0,86.0,0.98
394,Yatou,100,CN,2021-04-03 01:10:49,96,37.15,122.3833,44.89,18.39
395,Maridi,66,SS,2021-04-03 01:10:49,88,4.9158,29.4742,67.66,3.67
396,Kirovskiy,100,RU,2021-04-03 01:10:50,60,45.0917,133.5136,47.52,10.89
397,Kudahuvadhoo,27,MV,2021-04-03 01:10:50,76,2.6708,72.8944,82.67,14.52
